MixKey,ProductKey,DateKey,MarketKey,MarketClusterKey,SeasonalityKey,TotalRevenue,TotalProfit,TotalQuantity,CategoryCount,SKUCount,VariantCount,ConsistencyIndex,SeasonalityIndex
2,158,2012-06-01,2,5,2,973.35,-109.47,3,4,106,5,.76,.91
3,188,2013-07-01,1,3,3,809.32,-9.17,4,4,170,12,.89,1.74
4,259,2014-03-01,4,1,3,402.93,154.12,74,4,160,2,.95,2.11
5,259,2013-07-01,2,5,3,93.11,32.59,18,4,109,2,.95,1.51
6,14,2014-04-01,7,2,2,9179.96,4172.03,4,3,86,6,.74,.96
7,18,2012-07-01,1,3,1,3887.96,297.35,6,4,95,4,.70,.51
8,161,2013-10-01,2,5,2,1427.59,-16.17,4,4,89,5,.82,.96
9,138,2014-05-01,1,3,3,2248.11,196.33,15,4,158,10,.75,1.11
10,31,2013-05-01,5,5,3,1619.97,147.07,5,4,94,10,.80,1.35
11,34,2013-10-01,3,5,1,4082.37,-247.66,4,4,121,4,.77,.45
12,78,2014-02-01,10,2,1,2429.70,919.39,2,3,82,4,.82,.43
13,207,2013-06-01,8,2,2,200.05,.20,1,4,161,10,.80,1.00
14,112,2013-07-01,7,2,1,105.29,27.37,1,4,132,1,.69,.15
15,209,2013-12-01,8,2,1,1807.03,1.80,3,4,124,8,.74,.60
16,226,2012-06-01,7,2,3,752.49,195.64,6,4,104,1,.59,1.64
17,47,2012-09-01,2,5,3,6544.68,-1230.05,5,4,98,8,.80,1.13
18,220,2012-10-01,6,6,2,2355.94,612.54,12,4,93,1,.78,.81
19,131,2013-12-01,7,2,3,7287.84,636.47,9,4,137,10,.70,1.75
20,10,2014-03-01,9,4,2,13919.94,6326.22,6,4,122,6,.73,.99
21,287,2014-04-01,8,2,3,131.67,82.42,33,4,93,1,.45,1.55
22,69,2012-09-01,3,5,2,2348.97,-84.56,5,4,84,12,.84,.90
23,10,2013-07-01,7,2,2,12063.94,4470.23,6,4,132,6,.73,1.06
24,245,2013-12-01,8,2,2,379.92,-4.99,10,4,124,4,.73,.95
25,74,2012-11-01,3,5,2,2348.97,-84.56,5,4,58,12,.89,.94
26,179,2013-03-01,2,5,1,404.66,30.34,2,4,93,12,.92,.64
27,19,2013-06-01,4,1,1,2308.47,209.57,5,4,166,4,.68,.52
28,142,2013-07-01,8,2,1,158.43,13.83,1,4,146,10,.63,.40
29,94,2014-05-01,7,2,1,3814.51,850.63,2,4,122,8,.82,.29
30,43,2012-08-01,4,1,1,11728.08,-422.21,8,4,95,8,.75,.59
31,83,2013-09-01,3,5,1,445.41,-16.03,1,4,127,10,.87,.57
32,126,2013-10-01,7,2,1,818.70,71.49,1,4,119,10,.78,.20
33,285,2014-01-01,7,2,2,59.54,37.27,26,4,110,1,.70,1.10
34,72,2012-04-01,1,3,1,838.91,-134.49,2,4,52,12,.99,.31
35,9,2012-10-01,9,4,1,2071.41,805.80,1,1,23,6,.70,.12
36,254,2013-03-01,4,1,1,827.86,258.70,23,4,99,4,.84,.76
37,88,2013-12-01,4,1,3,4899.51,746.50,9,4,132,10,.65,2.01
38,20,2014-01-01,6,6,1,2308.47,209.57,5,4,138,4,.78,.66
39,116,2014-05-01,2,5,1,218.62,56.84,3,4,91,1,.76,.75
40,276,2012-12-01,3,5,1,141.30,49.70,7,4,60,3,.90,.58
41,77,2013-12-01,3,5,1,445.41,-16.03,1,4,96,10,.82,.35
42,5,2012-01-01,9,4,1,3374.99,1476.89,1,1,14,8,1.10,.44
43,241,2012-07-01,6,6,3,1839.78,413.73,91,4,103,3,.66,1.49
44,238,2013-08-01,10,2,3,191.02,90.26,11,4,130,3,.76,1.93
45,64,2013-04-01,7,2,1,782.99,296.28,1,3,51,12,.97,.73
46,37,2013-05-01,1,3,1,971.98,-58.96,3,4,156,4,.73,.36
47,235,2013-09-01,3,5,2,102.48,-29.03,19,4,127,1,.81,1.09
48,50,2014-01-01,2,5,1,3361.47,-203.92,5,4,72,5,.87,.76
49,48,2014-03-01,8,2,1,2932.02,-177.87,2,4,151,8,.82,.53
50,70,2012-02-01,3,5,1,1258.37,-201.74,3,4,38,12,.86,.26
51,50,2012-05-01,5,5,1,1800.78,-338.45,3,4,91,5,.87,.59
